timing_mode,checkpoint_id,outcome_id,baseline_model,model_id,target_quarter,loss_diff_baseline_minus_model,cumulative_loss_diff
exact,pre_advance,DELTA_SA,ar,bridge,2005:Q1,-0.013846057404504227,-0.013846057404504227
exact,pre_advance,DELTA_SA,ar,bridge,2005:Q2,-0.001650279197283805,-0.015496336601788032
exact,pre_advance,DELTA_SA,ar,bridge,2005:Q3,-0.11888984019706639,-0.13438617679885442
exact,pre_advance,DELTA_SA,ar,bridge,2005:Q4,-0.0033836766731657753,-0.1377698534720202
exact,pre_advance,DELTA_SA,ar,bridge,2006:Q1,-0.04844188468453351,-0.1862117381565537
exact,pre_advance,DELTA_SA,ar,bridge,2006:Q2,-0.1371256323997568,-0.3233373705563105
exact,pre_advance,DELTA_SA,ar,bridge,2006:Q3,-0.0642914456374126,-0.38762881619372314
exact,pre_advance,DELTA_SA,ar,bridge,2006:Q4,0.3455791908551027,-0.042049625338620444
exact,pre_advance,DELTA_SA,ar,bridge,2007:Q1,-0.007824031136799381,-0.049873656475419824
exact,pre_advance,DELTA_SA,ar,bridge,2007:Q2,0.06896631884463494,0.01909266236921512
exact,pre_advance,DELTA_SA,ar,bridge,2007:Q3,0.059803740894769475,0.07889640326398459
exact,pre_advance,DELTA_SA,ar,bridge,2007:Q4,-0.012197856569414467,0.06669854669457012
exact,pre_advance,DELTA_SA,ar,bridge,2008:Q1,-0.004344598103960446,0.06235394859060968
exact,pre_advance,DELTA_SA,ar,bridge,2008:Q2,-0.5744071113634033,-0.5120531627727936
exact,pre_advance,DELTA_SA,ar,bridge,2008:Q3,0.6190200450590351,0.10696688228624152
exact,pre_advance,DELTA_SA,ar,bridge,2008:Q4,3.9506126973357536,4.057579579621995
exact,pre_advance,DELTA_SA,ar,bridge,2009:Q1,-6.0988802018433,-2.0413006222213044
exact,pre_advance,DELTA_SA,ar,bridge,2009:Q2,0.12681370682327298,-1.9144869153980313
exact,pre_advance,DELTA_SA,ar,bridge,2009:Q3,-0.06823089199504906,-1.9827178073930805
exact,pre_advance,DELTA_SA,ar,bridge,2009:Q4,-0.034868451184771665,-2.017586258577852
exact,pre_advance,DELTA_SA,ar,bridge,2010:Q1,-0.08867270219654097,-2.106258960774393
